iter=153 terr=0.05900 serr=0.66175 act=1141248 obj=159657.44914 diff=0.00104
iter=154 terr=0.05892 serr=0.66149 act=1141248 obj=159484.00191 diff=0.00109
iter=155 terr=0.05869 serr=0.66023 act=1141248 obj=158699.43977 diff=0.00492
iter=156 terr=0.05840 serr=0.65844 act=1141248 obj=158016.89386 diff=0.00430
iter=157 terr=0.05852 serr=0.66039 act=1141248 obj=157422.15445 diff=0.00376
iter=158 terr=0.05796 serr=0.65818 act=1141248 obj=156576.33367 diff=0.00537
iter=159 terr=0.05740 serr=0.65566 act=1141248 obj=155791.32484 diff=0.00501
iter=160 terr=0.05735 serr=0.65545 act=1141248 obj=155416.47441 diff=0.00241
iter=161 terr=0.05666 serr=0.65199 act=1141248 obj=154046.56181 diff=0.00881
iter=162 terr=0.06130 serr=0.66758 act=1141248 obj=164858.44759 diff=0.07019
iter=163 terr=0.05638 serr=0.65078 act=1141248 obj=153715.84435 diff=0.06759
iter=164 terr=0.05614 serr=0.64994 act=1141248 obj=153156.60099 diff=0.00364
iter=165 terr=0.05607 serr=0.65010 act=1141248 obj=152861.28629 diff=0.00193
iter=166 terr=0.05593 serr=0.64963 act=1141248 obj=152581.63172 diff=0.00183
iter=167 terr=0.05578 serr=0.64837 act=1141248 obj=151980.88499 diff=0.00394
iter=168 terr=0.05519 serr=0.64548 act=1141248 obj=150829.81737 diff=0.00757
iter=169 terr=0.05421 serr=0.63855 act=1141248 obj=150004.68290 diff=0.00547
iter=170 terr=0.05397 serr=0.63766 act=1141248 obj=148619.48919 diff=0.00923
iter=171 terr=0.05369 serr=0.63693 act=1141248 obj=147617.31761 diff=0.00674
iter=172 terr=0.05354 serr=0.63498 act=1141248 obj=147036.11801 diff=0.00394
iter=173 terr=0.05317 serr=0.63456 act=1141248 obj=146423.53491 diff=0.00417
iter=174 terr=0.05278 serr=0.63173 act=1141248 obj=145720.59337 diff=0.00480
iter=175 terr=0.05262 serr=0.63199 act=1141248 obj=145214.78343 diff=0.00347
iter=176 terr=0.05205 serr=0.63016 act=1141248 obj=145192.31254 diff=0.00015
iter=177 terr=0.05210 serr=0.63005 act=1141248 obj=144567.92527 diff=0.00430
iter=178 terr=0.05200 serr=0.63026 act=1141248 obj=143534.35283 diff=0.00715
iter=179 terr=0.05188 serr=0.62984 act=1141248 obj=142988.39503 diff=0.00380
iter=180 terr=0.05184 serr=0.62785 act=1141248 obj=142271.04298 diff=0.00502
iter=181 terr=0.05149 serr=0.62596 act=1141248 obj=141580.82050 diff=0.00485
iter=182 terr=0.05119 serr=0.62438 act=1141248 obj=140932.62695 diff=0.00458
iter=183 terr=0.05073 serr=0.62165 act=1141248 obj=140119.07734 diff=0.00577
iter=184 terr=0.05128 serr=0.62486 act=1141248 obj=140125.05264 diff=0.00004
iter=185 terr=0.05085 serr=0.62255 act=1141248 obj=139830.17223 diff=0.00210
iter=186 terr=0.05056 serr=0.62092 act=1141248 obj=139477.93015 diff=0.00252
iter=187 terr=0.05026 serr=0.61898 act=1141248 obj=139142.47206 diff=0.00241
iter=188 terr=0.04994 serr=0.61735 act=1141248 obj=138620.65279 diff=0.00375
iter=189 terr=0.04948 serr=0.61609 act=1141248 obj=137628.09646 diff=0.00716
iter=190 terr=0.04889 serr=0.61347 act=1141248 obj=135867.01289 diff=0.01280
iter=191 terr=0.04857 serr=0.61221 act=1141248 obj=134476.23986 diff=0.01024
iter=192 terr=0.04826 serr=0.61084 act=1141248 obj=133821.56520 diff=0.00487
iter=193 terr=0.04811 serr=0.61048 act=1141248 obj=133248.92999 diff=0.00428
iter=194 terr=0.04785 serr=0.60748 act=1141248 obj=132811.19527 diff=0.00329
iter=195 terr=0.04796 serr=0.60853 act=1141248 obj=132087.10328 diff=0.00545
iter=196 terr=0.04751 serr=0.60649 act=1141248 obj=131196.29989 diff=0.00674
iter=197 terr=0.04692 serr=0.60339 act=1141248 obj=130246.48942 diff=0.00724
iter=198 terr=0.04667 serr=0.60176 act=1141248 obj=129878.68916 diff=0.00282
iter=199 terr=0.04645 serr=0.60176 act=1141248 obj=129463.02772 diff=0.00320
iter=200 terr=0.04548 serr=0.59536 act=1141248 obj=128677.81947 diff=0.00607
iter=201 terr=0.04585 serr=0.59909 act=1141248 obj=126899.65574 diff=0.01382
iter=202 terr=0.04566 serr=0.59657 act=1141248 obj=126650.79578 diff=0.00196
iter=203 terr=0.04527 serr=0.59447 act=1141248 obj=126174.92978 diff=0.00376
iter=204 terr=0.04480 serr=0.59095 act=1141248 obj=125464.70634 diff=0.00563
iter=205 terr=0.04549 serr=0.59405 act=1141248 obj=126447.32337 diff=0.00783
iter=206 terr=0.04466 serr=0.58995 act=1141248 obj=125288.69074 diff=0.00916
iter=207 terr=0.04463 serr=0.58980 act=1141248 obj=125010.25086 diff=0.00222
iter=208 terr=0.04435 serr=0.58807 act=1141248 obj=124245.69127 diff=0.00612
iter=209 terr=0.04631 serr=0.59919 act=1141248 obj=125806.36675 diff=0.01256
iter=210 terr=0.04466 serr=0.58901 act=1141248 obj=124040.45260 diff=0.01404
iter=211 terr=0.04421 serr=0.58518 act=1141248 obj=123540.76554 diff=0.00403
iter=212 terr=0.04380 serr=0.58234 act=1141248 obj=123091.29147 diff=0.00364
iter=213 terr=0.04336 serr=0.57935 act=1141248 obj=122557.14717 diff=0.00434
iter=214 terr=0.04294 serr=0.57851 act=1141248 obj=122087.74784 diff=0.00383
iter=215 terr=0.04237 serr=0.57463 act=1141248 obj=120855.39031 diff=0.01009
iter=216 terr=0.04207 serr=0.57274 act=1141248 obj=120239.45967 diff=0.00510
iter=217 terr=0.04202 serr=0.57416 act=1141248 obj=119772.88530 diff=0.00388
iter=218 terr=0.04163 serr=0.57127 act=1141248 obj=119525.65742 diff=0.00206
iter=219 terr=0.04170 serr=0.57195 act=1141248 obj=119219.55776 diff=0.00256
iter=220 terr=0.04168 serr=0.57232 act=1141248 obj=118870.98989 diff=0.00292
iter=221 terr=0.04164 serr=0.57222 act=1141248 obj=118426.94692 diff=0.00374
iter=222 terr=0.04140 serr=0.56949 act=1141248 obj=117933.43474 diff=0.00417
iter=223 terr=0.04113 serr=0.56828 act=1141248 obj=117346.35073 diff=0.00498
iter=224 terr=0.04087 serr=0.56597 act=1141248 obj=116923.06224 diff=0.00361
iter=225 terr=0.04097 serr=0.56555 act=1141248 obj=116581.66482 diff=0.00292
iter=226 terr=0.04059 serr=0.56335 act=1141248 obj=116089.92341 diff=0.00422
iter=227 terr=0.04045 serr=0.56329 act=1141248 obj=115572.80070 diff=0.00445
iter=228 terr=0.04029 serr=0.56340 act=1141248 obj=115125.93290 diff=0.00387
iter=229 terr=0.04022 serr=0.56293 act=1141248 obj=114677.89108 diff=0.00389
iter=230 terr=0.03960 serr=0.55768 act=1141248 obj=113879.42280 diff=0.00696
iter=231 terr=0.03951 serr=0.55647 act=1141248 obj=112917.39907 diff=0.00845
iter=232 terr=0.03856 serr=0.55128 act=1141248 obj=111967.19278 diff=0.00842
iter=233 terr=0.03839 serr=0.55170 act=1141248 obj=111674.54962 diff=0.00261
iter=234 terr=0.03813 serr=0.54828 act=1141248 obj=111316.27776 diff=0.00321
iter=235 terr=0.03796 serr=0.54708 act=1141248 obj=111093.40319 diff=0.00200
iter=236 terr=0.03771 serr=0.54377 act=1141248 obj=110484.46109 diff=0.00548
iter=237 terr=0.03744 serr=0.54298 act=1141248 obj=110034.37466 diff=0.00407
iter=238 terr=0.03724 serr=0.54183 act=1141248 obj=109640.60071 diff=0.00358
iter=239 terr=0.03750 serr=0.54225 act=1141248 obj=109382.11381 diff=0.00236
iter=240 terr=0.03699 serr=0.53926 act=1141248 obj=108944.68567 diff=0.00400
iter=241 terr=0.03677 serr=0.53758 act=1141248 obj=108637.17575 diff=0.00282
iter=242 terr=0.03665 serr=0.53679 act=1141248 obj=108271.30880 diff=0.00337
iter=243 terr=0.03678 serr=0.53763 act=1141248 obj=107976.23066 diff=0.00273
iter=244 terr=0.03675 serr=0.53836 act=1141248 obj=107621.66343 diff=0.00328
iter=245 terr=0.03650 serr=0.53726 act=1141248 obj=107167.34254 diff=0.00422
iter=246 terr=0.03612 serr=0.53511 act=1141248 obj=106819.12104 diff=0.00325
iter=247 terr=0.03638 serr=0.53711 act=1141248 obj=106778.02473 diff=0.00038
iter=248 terr=0.03578 serr=0.53306 act=1141248 obj=106299.71647 diff=0.00448
iter=249 terr=0.03570 serr=0.53201 act=1141248 obj=106198.10547 diff=0.00096
iter=250 terr=0.03554 serr=0.53075 act=1141248 obj=106018.55596 diff=0.00169
iter=251 terr=0.03533 serr=0.52808 act=1141248 obj=105570.89535 diff=0.00422
iter=252 terr=0.03462 serr=0.52456 act=1141248 obj=105087.80469 diff=0.00458
iter=253 terr=0.03470 serr=0.52488 act=1141248 obj=104463.60844 diff=0.00594
iter=254 terr=0.03473 serr=0.52635 act=1141248 obj=104238.41013 diff=0.00216
iter=255 terr=0.03471 serr=0.52566 act=1141248 obj=104122.97598 diff=0.00111
iter=256 terr=0.03466 serr=0.52514 act=1141248 obj=103891.56779 diff=0.00222
iter=257 terr=0.03458 serr=0.52414 act=1141248 obj=103456.52858 diff=0.00419
iter=258 terr=0.03464 serr=0.52467 act=1141248 obj=103049.97417 diff=0.00393
iter=259 terr=0.03443 serr=0.52257 act=1141248 obj=102642.82030 diff=0.00395
iter=260 terr=0.03422 serr=0.51989 act=1141248 obj=102442.38867 diff=0.00195
iter=261 terr=0.03414 serr=0.51973 act=1141248 obj=102333.65499 diff=0.00106
iter=262 terr=0.03386 serr=0.51958 act=1141248 obj=102058.47882 diff=0.00269
iter=263 terr=0.03460 serr=0.52377 act=1141248 obj=102497.85020 diff=0.00431
iter=264 terr=0.03400 serr=0.51858 act=1141248 obj=101899.43151 diff=0.00584
iter=265 terr=0.03379 serr=0.51895 act=1141248 obj=101640.21676 diff=0.00254
iter=266 terr=0.03363 serr=0.51821 act=1141248 obj=101403.04239 diff=0.00233
iter=267 terr=0.03357 serr=0.51816 act=1141248 obj=101258.02257 diff=0.00143
iter=268 terr=0.03349 serr=0.51721 act=1141248 obj=100963.33835 diff=0.00291
iter=269 terr=0.03306 serr=0.51606 act=1141248 obj=100570.70975 diff=0.00389
iter=270 terr=0.03298 serr=0.51433 act=1141248 obj=100262.67014 diff=0.00306
iter=271 terr=0.03282 serr=0.51396 act=1141248 obj=99992.59076 diff=0.00269
iter=272 terr=0.03274 serr=0.51260 act=1141248 obj=99797.80850 diff=0.00195
iter=273 terr=0.03254 serr=0.51197 act=1141248 obj=99459.93117 diff=0.00339
